"","X.7","X.6","X.5","X.4","X.3","X.2","X.1","site","closure_id","n_observations","X","day_of_year","time_observations_started","duration_minutes","effort_distance_km","number_observers","summer_nbr_TCB_mean_2400","spring_nbr_TCG_mean_75","fall_nbr_B2_stdDev_300","slope_mean_300","summer_b5_B4_stdDev_1200","species_observed_syn","observation_date","formatted_date","latitude","longitude","locality_id","observer_id","checklist_id","as_date","occupied_prob","occupied","site_area","site_max_dist"
"1",1,1,1,1,1,1,1,"L1062428_2017",2017,1,34061,0.9749639,-0.6058463,8.495731,-0.2630949,0.6323905,0.001605409,0.252753,-0.5409288,1.559191,-0.4085026,0,"6/30/2017","2017-06-30",43.20436,-123.3363,"L1062428","obs239023","S37889120","2017-06-30",0.509002053544847,0,0,0
"2",2,2,2,2,2,2,2,"L1067080_2017",2017,1,29827,-1.019101,-0.4358259,-0.4370419,-0.2630949,-0.4006648,1.05239,1.136687,-0.4823332,-0.7781518,-0.1230195,0,"5/27/2017","2017-05-27",44.42103,-123.3169,"L1067080","obs29674","S37185781","2017-05-27",0.365011107991802,0,0,0
"3",3,3,3,3,3,3,3,"L1068815_2017",2017,1,36266,1.444156,-0.7616983,-0.4370419,-0.2630949,-0.4006648,0.3759719,1.192264,0.7581813,0.1253688,-0.05654878,0,"7/8/2017","2017-07-08",44.41895,-123.3298,"L1068815","obs29674","S38489931","2017-07-08",0.652688259615138,0,0,0
"4",4,4,4,4,4,4,4,"L1079015_2017",2017,1,30132,-0.9604523,-0.6625198,-0.4067613,-0.2630949,-0.4006648,-1.22553,0.5974332,-0.6758679,2.097384,-0.2563282,0,"5/28/2017","2017-05-28",44.48138,-123.5356,"L1079015","obs29674","S37246926","2017-05-28",0.293918143740406,0,0,0
"5",5,5,5,5,5,5,5,"50",2017,1,36268,1.444156,-0.7227353,-0.4370419,-0.2630949,-0.4006648,0.7472969,0.3136438,0.09147084,-0.5132454,-0.1008369,1,"7/8/2017","2017-07-08",44.421,-123.3229,"L1082731","obs29674","S38489934","2017-07-08",0.478142619450717,1,0,0.203520144301187
"6",6,6,6,6,6,6,6,"15",2017,1,36267,1.444156,-0.7404458,-0.4370419,-0.2630949,-0.4006648,0.636966,1.612571,0.3491525,-0.3549839,-0.1055726,0,"7/8/2017","2017-07-08",44.41987,-123.3247,"L1129235","obs29674","S38489932","2017-07-08",0.531505511475102,1,2460.15528869629,0.229925707366696
"7",7,7,7,7,7,7,7,"L1395758_2017",2017,1,30640,-0.6672074,-0.4960415,-0.0736749,3.496343,-0.4006648,2.998975,0.3373659,0.4601994,-0.8185154,-0.4814172,1,"6/2/2017","2017-06-02",44.28449,-123.0622,"L1395758","obs111997","S37334224","2017-06-02",0.896575978487031,1,0,0
"8",8,8,8,8,8,8,8,"L1398388_2017",2017,1,3004,0.857665984777069,-0.0497379683970951,0.531936806019692,-0.263094913901091,1.66544583222376,0.689229905212119,1.76307183481983,0.161292000456099,-0.561684032925794,-0.108088441926116,1,"6/28/2017","2017-06-28",44.4192406,-123.3228086,"L1398388","obs190616,obs406695,obs939315","G2508709","2017-06-28",0.461035658601464,0,0,0
"9",9,9,9,9,9,9,9,"L1403654_2017",2017,2,29184,-1.312346,0.219461,-0.4370419,-0.2630949,-0.4006648,0.5399015,-0.3951688,0.4331253,-0.6940686,-0.3448703,0,"5/22/2017","2017-05-22",44.07045,-123.1748,"L1403654","obs269672","S37074162","2017-05-22",0.467781152094794,1,0,0
"10",10,10,10,10,10,10,10,"L1403654_2017",2017,2,3059,0.916314962938765,2.0578064036097,-0.527883671624438,-0.263094913901091,0.632390529287552,0.539901516826317,-0.395168788879651,0.433125267675092,-0.694068607073965,-0.344870275458831,1,"6/29/2017","2017-06-29",44.070449,-123.1747973,"L1403654","obs269672,obs305796,obs305797","G2515267","2017-06-29",0.467781148470246,0,0,0
